State,Population_2024,GDP_Crore
Andaman and Nicobar Islands,404000,89.0
Andhra Pradesh,53402000,1450.0
Arunachal Pradesh,1580000,38.0
Assam,36159000,567.0
Bihar,129205000,859.0
Chandigarh,1247000,49.0
Chhattisgarh,30638000,509.0
Delhi,21884000,1040.0
Goa,1585000,100.0
Gujarat,72653000,2563.0
Haryana,30694000,1120.0
Himachal Pradesh,7518000,214.0
Jammu & Kashmir,13733000,229.99999999999997
Jharkhand,40129000,423.00000000000006
Karnataka,68256000,2570.0
Kerala,35967000,1130.0
Madhya Pradesh,87954000,1387.0
Maharashtra,127684000,3879.9999999999995
Manipur,3260000,45.0
Meghalaya,3387000,47.0
Mizoram,1252000,36.0
Nagaland,2258000,37.0
Odisha,46663000,865.0
Puducherry,1695000,39.0
Punjab,30992000,698.0
Rajasthan,82188000,1570.0
Sikkim,697000,47.0
Tamil Nadu,77165000,2830.0
Telangana,38317000,1400.0
Tripura,4194000,27.0
Uttar Pradesh,238875000,2439.0
Uttarakhand,11795000,333.0
West Bengal,99723000,1719.0000000000002
